,Names,Region,Era,Area
1120,Jacob Moleschott,German-language,,
1121,Luis de Molina,Catholicandtheologians,15thand16thcenturies,
1122,Enrique Molina Garmendia,,,
1123,Lord Monboddo,,18thcentury,
1124,Richard Montague,American,20thcentury,logicians
1125,William Pepperell Montague,American,,
1126,Michel de Montaigne,French,15thand16thcenturies,
1127,Baron de Montesquieu,,17thcentury,
1128,Edmund Montgomery,,,
1129,G. E. Moore,,19thcentury,"['metaphysicians', 'ethicists']"
1130,Henry More,,17thcentury,
1131,Thomas More,Catholicandtheologians,15thand16thcenturies,politicaltheorists
1132,C. Lloyd Morgan,,,
1133,Lewis H. Morgan,,,Indexsociopoliticalthinkers
1134,Thomas Morgan,,,
1135,Karl Philipp Moritz,,,
1136,Edgar Morin,French,,epistemologists
1137,Gaetano Mosca,Italian,19thcentury,
1138,Motoori Norinaga,TimelineEastern#Japanese,18thcentury,
1139,Emmanuel Mounier,French,,
1140,Mou Tsung-san,TimelineEastern#Japanese,,
1141,Mozi,TimelineEastern#Japanese,centuriesBC,"['political', 'Indexsociopoliticalthinkers', 'ethicists']"
1142,David Ibn Merwan Al-Mukammas,,1stthrough10thcenturies,
1143,Mulla Sadra,Muslim,15thand16thcenturies,
1144,Iris Murdoch,British,20thcentury,"['metaphysicians', 'ethicists']"
1145,Muro Kyuso,,,
1146,Arthur Edward Murphy,,20thcentury,
1147,Musonius Rufus,,1stthrough10thcenturies,
1148,Arne Næss,German-language,20thcentury,
1149,Nagarjuna,TimelineEastern#Japanese,1stthrough10thcenturies,logicians
1150,Ernest Nagel,,20thcentury,
1151,Thomas Nagel,American,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists']"
1152,Nahmanides,,,
1153,Jacques-André Naigeon,,,
1154,Toju Nakae,,,Indexsociopoliticalthinkers
1155,Jean-Luc Nancy,French,20thcentury,
1156,Hossein Nasr,Iranian,20thcentury,
1157,Paul Gerhard Natorp,,19thcentury,
1158,Sergey Nechayev,,,
1159,Alexander Neckham,,11ththrough14thcenturies,
1160,Antonio Negri,Italian,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1161,Leonard Nelson,German-language,19thcentury,
1162,Nemesius of Emesa,,1stthrough10thcenturies,
1163,John von Neumann,,20thcentury,logicians
1164,Otto Neurath,,19thcentury,
1165,John Henry Newman,Catholicandtheologians,19thcentury,political
1166,Isaac Newton,,17thcentury,
1167,Nichiren,TimelineEastern#Japanese,11ththrough14thcenturies,
1168,Nicholas of Autrecourt,,11ththrough14thcenturies,
1169,Nicholas of Cusa,Catholicandtheologians,15thand16thcenturies,
1170,Christoph Friedrich Nicolai,,,
1171,Pierre Nicole,,,
1172,H. Richard Niebuhr,,19thcentury,ethicists
1173,Reinhold Niebuhr,,19thcentury,ethicists
1174,Friedrich Nietzsche,German-language,19thcentury,"['aestheticians', 'ethicists', 'political']"
1175,Agostino Nifo,,15thand16thcenturies,
1176,Nishi Amane,TimelineEastern#Japanese,19thcentury,
1177,Nishida Kitaro,TimelineEastern#Japanese,19thcentury,
1178,Nishitani Keiji,TimelineEastern#Japanese,20thcentury,
1179,Kwame Nkrumah,,20thcentury,
1180,John Norris,,17thcentury,
1181,Novalis,German-language,18thcentury,
1182,Robert Nozick,American,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political']"
1183,Numenius of Apamea,ancientGreek,1stthrough10thcenturies,
1184,Martha Nussbaum,American,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
1185,Anders Nygren,,19thcentury,
1186,Michael Oakeshott,British,20thcentury,"['aestheticians', 'Indexsociopoliticalthinkers', 'political', 'politicaltheorists']"
1187,William of Ockham,Catholicandtheologians,11ththrough14thcenturies,"['logicians', 'metaphysicians', 'political', 'epistemologists']"
1188,Ogyū Sorai,TimelineEastern#Japanese,17thcentury,Indexsociopoliticalthinkers
1189,Lorenz Oken,,18thcentury,
1190,Karl Olivecrona,,19thcentury,
1191,Peter Olivi,,11ththrough14thcenturies,
1192,Olympiodorus the Younger,ancientGreek,1stthrough10thcenturies,
1193,John Wood Oman,,19thcentury,
1194,Michel Onfray,French,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
1195,Onora O'Neill,,20thcentury,ethicists
1196,Nicole Oresme,French,11ththrough14thcenturies,
1197,Origen of Alexandria,Catholicandtheologians,1stthrough10thcenturies,
1198,Isaac Orobio de Castro,,,
1199,Hans Christian Ørsted,,,
1200,José Ortega y Gasset,,19thcentury,
1201,Wilhelm Ostwald,,,
1202,James Oswald,,18thcentury,
1203,Rudolf Otto,,19thcentury,
1204,Richard Overton,,15thand16thcenturies,
1205,Gwilyn Ellis Lane Owen,,20thcentury,
1206,Thomas Paine,British,18thcentury,"['political', 'politicaltheorists']"
1207,Menyhért Palágyi,,,
1208,William Paley,British,18thcentury,Indexsociopoliticalthinkers
1209,Elihu Palmer,,,
1210,Panaetius,ancientGreek,centuriesBC,
1211,Antonie Pannekoek,,,
1212,Wolfhart Pannenberg,,,
1213,David Papineau,British,20thcentury,
1214,Giovanni Papini,,,
1215,Paracelsus,,15thand16thcenturies,
1216,Vilfredo Pareto,Italian,19thcentury,Indexsociopoliticalthinkers
1217,Derek Parfit,British,20thcentury,ethicists
1218,Theodore Parker,,,
1219,Parmenides,Italian,centuriesBC,metaphysicians
1220,Blaise Pascal,French,17thcentury,ethicists
1221,John Arthur Passmore,,,
1222,Valentino Annibale Pastore,,,
1223,Patañjali,,centuriesBC,
1224,Walter Pater,,,aestheticians
1225,Jan Patočka,,20thcentury,
1226,Francesco Patrizi da Cherso,,15thand16thcenturies,
1227,Akos Pauler,,,
1228,Linus Pauling,,,
1229,Paul of Venice,Italian,11ththrough14thcenturies,logicians
1230,Friedrich Paulsen,German-language,,
1231,Ivan Pavlov,,,
1232,Christopher Peacocke,British,20thcentury,
1233,Giuseppe Peano,Italian,19thcentury,logicians
1234,David Pears,,20thcentury,
1235,Karl Pearson,,,
1236,John Peckham,,11ththrough14thcenturies,
1237,Benjamin Peirce,,19thcentury,
1238,Charles Sanders Peirce,American,19thcentury,logicians
1239,Pelagius,,1stthrough10thcenturies,
1240,William Penbygull,,11ththrough14thcenturies,
1241,Thomas Percival,,18thcentury,
1242,Ralph Barton Perry,American,19thcentury,
1243,Johann Heinrich Pestalozzi,,,
1244,Peter of Auvergne,,11ththrough14thcenturies,
1245,Peter of Spain,,11ththrough14thcenturies,logicians
1246,Richard Stanley Peters,,20thcentury,
1247,Jordan B. Peterson,,,
1248,Petrarch,,11ththrough14thcenturies,
1249,Leon Petrazycki,,19thcentury,
1250,Joane Petrizi,,11ththrough14thcenturies,
1251,Branislav Petronijević,,,
1252,Petar II Petrović-Njegoš,,,
1253,Joseph Petzoldt,,,
1254,Alexander Pfänder,,,
1255,Philip the Chancellor,,11ththrough14thcenturies,
1256,Philo Judaeus of Alexandria,,centuriesBC,
1257,Philo of Larissa,ancientGreek,centuriesBC,
1258,Philo the Dialectician,ancientGreek,centuriesBC,logicians
1259,Philodemus of Gadara,,centuriesBC,
1260,Philolaus of Croton,,centuriesBC,
1261,Philo of Larissa,ancientGreek,centuriesBC,
1262,Philo of Megara,,,
1263,John Philoponus,,,
1264,Jean Piaget,,19thcentury,epistemologists
1265,Giovanni Pico della Mirandola,Italian,15thand16thcenturies,
1266,Dimitri Pisarev,Russian,,
1267,Max Planck,,19thcentury,
1268,Alvin Plantinga,American,20thcentury,"['metaphysicians', 'epistemologists']"
1269,Plato,Muslim,centuriesBC,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political', 'metaphysicians', 'logicians', 'aestheticians']"
1270,Georgi Plekhanov,,19thcentury,
1271,Helmuth Plessner,German-language,,
1272,Gemistus Pletho,,,
1273,Plotinus,ancientGreek,1stthrough10thcenturies,metaphysicians
1274,Mestrius Plutarch of Chaeronia,,1stthrough10thcenturies,
1275,Henri Poincaré,,19thcentury,
1276,Karl Polanyi,,,
1277,Michael Polanyi,British,19thcentury,
1278,Pietro Pomponazzi,Italian,15thand16thcenturies,
1279,Alexander Pope,,,
1280,Karl Popper,German-language,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'epistemologists', 'politicaltheorists']"
1281,Josef Popper-Lynkeus,,,
1282,Porphyry,ancientGreek,1stthrough10thcenturies,logicians
1283,Giambattista della Porta,,,
1284,Noah Porter,,,
1285,Posidonius,ancientGreek,centuriesBC,
1286,Richard Posner,American,20thcentury,
1287,Emil Leon Post,,19thcentury,logicians
1288,Robert Joseph Pothier,,17thcentury,
1289,Nicos Poulantzas,French,,
1290,François Poullain de la Barre,French,,
1291,Roscoe Pound,,19thcentury,
1292,Caio Prado Júnior,,,
1293,Costanzo Preve,Italian,,
1294,Henry Habberley Price,,19thcentury,
1295,Richard Price,,18thcentury,ethicists
1296,Harold Arthur Prichard,,19thcentury,
1297,Joseph Priestley,,18thcentury,Indexsociopoliticalthinkers
1298,Andrew Seth Pringle-Pattison,,,
1299,Arthur Prior,,20thcentury,logicians
1300,Proclus,ancientGreek,1stthrough10thcenturies,
1301,Prodicus,ancientGreek,centuriesBC,ethicists
1302,Protagoras,ancientGreek,centuriesBC,metaphysicians
1303,Pierre-Joseph Proudhon,,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1304,Marcel Proust,,,
1305,Pseudo-Dionysius the Areopagite,,1stthrough10thcenturies,
1306,Pseudo-Grosseteste,,11ththrough14thcenturies,
1307,Ptolemy,,1stthrough10thcenturies,
1308,Samuel Pufendorf,,17thcentury,
1309,Isaac ben Joseph ibn Pulgar,,,
1310,Hilary Putnam,American,20thcentury,"['logicians', 'metaphysicians', 'epistemologists']"
1311,Pyrrho,ancientGreek,centuriesBC,epistemologists
1312,Pythagoras,ancientGreek,centuriesBC,metaphysicians
1313,Antero de Quental,,,
1314,W. V. O. Quine,,,
1315,Anthony Quinton,,20thcentury,
1316,François Rabelais,,15thand16thcenturies,
1317,Eduardo Rabossi,,20thcentury,
1318,Gustav Radbruch,German-language,19thcentury,
1319,Janet Radcliffe Richards,British,20thcentury,
1320,Sarvepalli Radhakrishnan,TimelineEastern#Japanese,19thcentury,
1321,Assi Rahbani,,,
1322,Ramakrishna Paramhansa,,,
1323,Karl Rahner,Catholicandtheologians,20thcentury,
1324,Ramanuja,TimelineEastern#Japanese,11ththrough14thcenturies,
1325,Frank P. Ramsey,British,20thcentury,
1326,Ian Thomas Ramsey,,20thcentury,
1327,Paul Ramsey,,20thcentury,
1328,Petrus Ramus,,15thand16thcenturies,logicians
1329,Jacques Rancière,French,20thcentury,"['political', 'Indexsociopoliticalthinkers']"
1330,Ram Gopal Varma,,,
1331,Ayn Rand,American,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists', 'epistemologists', 'political', 'aestheticians']"
1332,Hastings Rashdall,British,19thcentury,
1333,Felix Ravaisson-Mollien,,19thcentury,
1334,John Rawls,American,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
1335,John Ray,,17thcentury,
1336,Daniel Raymond,,18thcentury,
1337,Joseph Raz,,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
1338,Abu Bakr Muhammad ibn Zakariyya al-Razi,,,
1339,Fakhr al-Din al-Razi,Muslim,11ththrough14thcenturies,"['metaphysicians', 'political']"
1340,Paul Ree,,,
1341,Pierre-Sylvain Regis,,17thcentury,
1342,August Wilhelm Rehberg,,18thcentury,
1343,Wilhelm Reich,,19thcentury,political
1344,Helmut Reichelt,,,
1345,Hans Reichenbach,German-language,19thcentury,
1346,Thomas Reid,,18thcentury,aestheticians
1347,Hermann Samuel Reimarus,German-language,17thcentury,
1348,Adolf Reinach,German-language,19thcentury,
1349,Karl Leonhard Reinhold,German-language,18thcentury,
1350,Karl Renner,,19thcentury,
1351,Charles Bernard Renouvier,,19thcentury,
1352,Nicholas Rescher,Catholicandtheologians,20thcentury,
1353,Jean Reynaud,French,,
1354,Rgyal tshab dar ma rin chen,,11ththrough14thcenturies,
1355,Urbanus Rhegius,,,
1356,David Ricardo,,18thcentury,political
1357,Richard of Middleton,,11ththrough14thcenturies,
1358,Richard of St. Victor,,11ththrough14thcenturies,
1359,Richard Rufus of Cornwall,British,,
1360,I. A. Richards,,19thcentury,
1361,Radovan Richta,,20thcentury,
1362,Heinrich Rickert,,19thcentury,
1363,Paul Ricœur,French,20thcentury,
1364,Bernhard Riemann,,19thcentury,
1365,R.R. Rockingham Gill,,,
1366,Jacques Rohault,,17thcentury,
1367,Erwin Rohde,,19thcentury,
1368,Francisco Romero,,19thcentury,
1369,Avital Ronell,American,20thcentury,
1370,Richard Rorty,American,20thcentury,"['political', 'ethicists']"
1371,Vasily Rozanov,Russian,19thcentury,
1372,Roscelin of Compiègne,,11ththrough14thcenturies,
1373,Johann Karl Friedrich Rosenkranz,,19thcentury,
1374,Eugen Rosenstock-Huessy,American,,Indexsociopoliticalthinkers
1375,Franz Rosenzweig,German-language,19thcentury,
1376,Antonio Rosmini-Serbati,Italian,18thcentury,
1377,Alf Niels Christian Ross,,19thcentury,
1378,William David Ross,,19thcentury,
1379,Carlo Rosselli,Italian,,
1380,Gian-Carlo Rota,Italian,20thcentury,
1381,Jean Jacques Rousseau,,18thcentury,
1382,"Claude Henri de Rouvroy, Comte de Saint-Simon",,18thcentury,
1383,Joseph Rovan,French,20thcentury,
1384,M.N.Roy,,,
1385,Josiah Royce,American,19thcentury,
1386,Pierre Paul Royer-Collard,,18thcentury,
1387,Vasily Rozanov,Russian,19thcentury,
1388,Ruan Ji,TimelineEastern#Japanese,,
1389,Arnold Ruge,,19thcentury,
1390,Otto Rühle,,,
1391,Michael Ruse,American,20thcentury,
1392,Bertrand Russell,British,19thcentury,"['Indexsociopoliticalthinkers', 'ethicists', 'epistemologists', 'metaphysicians', 'logicians', 'political']"
1393,Jan van Ruysbroek,,11ththrough14thcenturies,
1394,Gilbert Ryle,British,20thcentury,
1395,Saadia Gaon,,1stthrough10thcenturies,
1396,Mulla Hadi Sabzevari,Iranian,18thcentury,
1397,William S. Sahakian,American,,
1398,Mark Sainsbury,British,20thcentury,
1399,"Claude Henri de Rouvroy, Comte de Saint-Simon",,18thcentury,
1400,Émile Saisset,French,19thcentury,
1401,Sakya Pandita,TimelineEastern#Japanese,,
1402,Syed Zafarul Hasan,,,
1403,Nathan Salmon,American,20thcentury,metaphysicians
1404,Wesley Salmon,,20thcentury,
1405,Francisco Sanches,,15thand16thcenturies,
1406,Adolfo Sánchez Vázquez,,20thcentury,
1407,Michael Sandel,American,,
1408,Śāntarakṣita,Indian,,
1409,George Santayana,American,19thcentury,aestheticians
1410,Prabhat Rainjan Sarkar,,20thcentury,
1411,Jean-Paul Sartre,French,20thcentury,"['metaphysicians', 'political']"
1412,Crispin Sartwell,American,20thcentury,
1413,John Ralston Saul,Canadian,20thcentury,ethicists
1414,Ferdinand de Saussure,,19thcentury,Indexsociopoliticalthinkers
1415,Fernando Savater,peoplefromtheBasqueCountry,20thcentury,
1416,Friedrich Karl von Savigny,,18thcentury,
1417,Raúl Scalabrini Ortiz,,,
1418,Antonin Scalia,Catholicandtheologians,,
1419,Julius Caesar Scaliger,,15thand16thcenturies,
1420,Thomas Scanlon,,20thcentury,
1421,Richard Schacht,,20thcentury,
1422,Max Scheler,German-language,19thcentury,ethicists
1423,Friedrich Schelling,,18thcentury,
1424,F. C. S. Schiller,British,19thcentury,
1425,Friedrich Schiller,German-language,18thcentury,"['aestheticians', 'ethicists']"
1426,August Wilhelm Schlegel,,,aestheticians
1427,Friedrich Schlegel,,,
1428,Hubert Schleichert,,20thcentury,
1429,Friedrich Schleiermacher,German-language,18thcentury,Indexsociopoliticalthinkers
1430,Moritz Schlick,German-language,19thcentury,ethicists
1431,Carl Schmitt,,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1432,J.B. Schneewind,,,
1433,Gershom Scholem,,,
1434,Heinrich Scholz,,,
1435,Arthur Schopenhauer,German-language,18thcentury,"['metaphysicians', 'aestheticians', 'ethicists', 'political']"
1436,Erwin Schrödinger,,19thcentury,
1437,Gottlob Ernst Schulze,German-language,18thcentury,
1438,Joseph Schumpeter,,19thcentury,politicaltheorists
1439,Anna Maria van Schurman,,17thcentury,
1440,Alfred Schütz,German-language,19thcentury,
1441,Albert Schweitzer,French,,ethicists
1442,Roger Scruton,British,20thcentury,"['aestheticians', 'political', 'politicaltheorists']"
1443,Madeleine de Scudéry,,,
1444,John Searle,American,20thcentury,"['Indexsociopoliticalthinkers', 'epistemologists']"
1445,Juan José Sebreli,,,
1446,Charles Secrétan,,19thcentury,
1447,Michal Sedziwój,,15thand16thcenturies,
1448,John Selden,,15thand16thcenturies,political
1449,Roy Wood Sellars,American,19thcentury,
1450,Wilfrid Sellars,American,20thcentury,
1451,Amartya Sen,TimelineEastern#Japanese,20thcentury,ethicists
1452,Seneca the Younger,,centuriesBC,
1453,Sengzhao,TimelineEastern#Japanese,1stthrough10thcenturies,
1454,Victor Serge,,,
1455,John Sergeant,,17thcentury,
1456,Michel Serres,French,20thcentury,
1457,Sextus Empiricus,ancientGreek,1stthrough10thcenturies,epistemologists
1458,"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",,17thcentury,
1459,Shah Wali Allah,,18thcentury,
1460,Shang Yang,TimelineEastern#Japanese,centuriesBC,
1461,Adi Shankara,TimelineEastern#Japanese,1stthrough10thcenturies,
1462,Shantideva,,,
1463,Shao Yung,TimelineEastern#Japanese,11ththrough14thcenturies,
1464,Johannes Sharpe,,11ththrough14thcenturies,
1465,Dariush Shayegan,,20thcentury,
1466,Shen Buhai,TimelineEastern#Japanese,centuriesBC,
1467,Shen Dao,TimelineEastern#Japanese,centuriesBC,
1468,Lady Mary Shepherd,,18thcentury,
1469,Lev Shestov,Russian,19thcentury,
1470,Shinran,TimelineEastern#Japanese,11ththrough14thcenturies,
1471,Sydney Shoemaker,American,20thcentury,
1472,Daryush Shokof,Iranian,,
1473,Gustav Gustavovich Shpet,,19thcentury,
1474,Shriharsha,,,
1475,Henry Sidgwick,British,19thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
1476,Eli Siegel,,,aestheticians
1477,Sigerus of Brabant,,11ththrough14thcenturies,
1478,Heinrich Christoph Wilhelm Sigwart,,18thcentury,
1479,Abu Sulayman Muhammad al-Sijistani,,1stthrough10thcenturies,
1480,Ludovico Silva,,,
1481,Francesco Silvestri,Catholicandtheologians,15thand16thcenturies,
1482,Georg Simmel,German-language,19thcentury,ethicists
1483,Simon of Faversham,,11ththrough14thcenturies,
1484,Simplicius of Cilicia,ancientGreek,1stthrough10thcenturies,logicians
1485,Kurt Singer,,,
1486,Peter Singer,,20thcentury,ethicists
1487,B. F. Skinner,,20thcentury,ethicists
1488,Thoralf Skolem,,19thcentury,logicians
1489,Hryhori Skovoroda,,18thcentury,
1490,Peter Sloterdijk,German-language,20thcentury,Indexsociopoliticalthinkers
1491,J. J. C. Smart,,20thcentury,"['Indexsociopoliticalthinkers', 'ethicists']"
1492,Adam Smith,British,18thcentury,"['political', 'ethicists', 'politicaltheorists']"
1493,Barry Smith,American,20thcentury,
1494,Huston Smith,,20thcentury,
1495,Joseph Smith,,,
1496,Michael Smith,,,
1497,Raymond Smullyan,American,20thcentury,logicians
1498,Joseph D. Sneed,American,20thcentury,
1499,Jan Sniadecki,,18thcentury,
1500,Scott Soames,American,20thcentury,
1501,Elliott Sober,,20thcentury,
1502,Socrates,ancientGreek,centuriesBC,"['aestheticians', 'epistemologists', 'political']"
1503,Karl Wilhelm Ferdinand Solger,German-language,18thcentury,aestheticians
1504,Joseph Soloveitchik,,20thcentury,
1505,Vladimir Solovyov,Russian,19thcentury,"['metaphysicians', 'ethicists']"
1506,Sophie de Condorcet,,,
1507,Georges Sorel,French,19thcentury,political
1508,William Ritchie Sorley,British,19thcentury,
1509,Abdolkarim Soroush,Muslim,20thcentury,
1510,Ernest Sosa,American,20thcentury,epistemologists
1511,Domingo de Soto,,15thand16thcenturies,
1512,Othmar Spann,,19thcentury,
1513,Herbert Spencer,,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists']"
1514,Thomas Spencer Baynes,,19thcentury,
1515,Oswald Spengler,German-language,19thcentury,
1516,Speusippus,ancientGreek,centuriesBC,
1517,Herbert Spiegelberg,,20thcentury,
1518,Baruch Spinoza,,17thcentury,"['metaphysicians', 'political', 'epistemologists', 'ethicists']"
1519,Afrikan Spir,German-language,19thcentury,
1520,Gayatri Chakravorty Spivak,,20thcentury,
1521,Lysander Spooner,American,19thcentury,"['Indexsociopoliticalthinkers', 'politicaltheorists']"
1522,Timothy L.S. Sprigge,,,
1523,Walter Terence Stace,,19thcentury,"['epistemologists', 'ethicists']"
1524,Edward Stachura,,20thcentury,
1525,Anne Louise Germaine de Staël,,18thcentury,
1526,"James Dalrymple, 1st Viscount Stair",,17thcentury,
1527,Joseph Vissarionovich Stalin,,,
1528,Robert Stalnaker,American,20thcentury,metaphysicians
1529,Henry Stanton,,19thcentury,
1530,Olaf Stapledon,British,19thcentury,ethicists
1531,Stanislaw Staszic,,18thcentury,
1532,L. Susan Stebbing,,19thcentury,
1533,Edith Stein,Catholicandtheologians,19thcentury,metaphysicians
1534,George Steiner,French,,
1535,Rudolf Steiner,German-language,19thcentury,epistemologists
1536,Leslie Stephen,,19thcentury,ethicists
1537,Charles Leslie Stevenson,,20thcentury,
1538,Dugald Stewart,,18thcentury,ethicists
1539,Stephen Stich,American,20thcentury,
1540,Stilpo,ancientGreek,centuriesBC,
1541,James Hutchison Stirling,British,19thcentury,
1542,Max Stirner,German-language,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
1543,George Frederick Stout,,19thcentury,
1544,David Stove,,20thcentury,
1545,Strato of Lampsacus,ancientGreek,centuriesBC,
1546,David Friedrich Strauss,,19thcentury,ethicists
1547,Leo Strauss,German-language,19thcentury,"['political', 'politicaltheorists']"
1548,Galen Strawson,British,20thcentury,
1549,P. F. Strawson,British,20thcentury,epistemologists
1550,Barry Stroud,Canadian,20thcentury,epistemologists
1551,Carl Stumpf,,19thcentury,
1552,Johann Sturm,,,
1553,Francisco Suárez,Catholicandtheologians,15thand16thcenturies,"['metaphysicians', 'political']"
1554,Gabrielle Suchon,,17thcentury,
1555,Shahab al-Din Yahya ibn Habash Suhrawardi,,,
1556,Sun Tzu,TimelineEastern#Japanese,centuriesBC,Indexsociopoliticalthinkers
1557,Sun Yat-sen,TimelineEastern#Japanese,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists']"
1558,Rudi Supek,,,
1559,Henry Suso,Catholicandtheologians,11ththrough14thcenturies,
1560,Ivan Sviták,,,Indexsociopoliticalthinkers
1561,Karen Swassjan,,,
1562,Emanuel Swedenborg,,17thcentury,
1563,Richard Swinburne,British,20thcentury,
1564,Richard Sylvan,,,logicians
1565,Syrianus,ancientGreek,1stthrough10thcenturies,
1566,David Sztybel,,20thcentury,
1567,Allama Tabatabai,,,
1568,Javad Tabatabai,,20thcentury,
1569,Debendranath Tagore,,19thcentury,
1570,Rabindranath Tagore,TimelineEastern#Japanese,19thcentury,
1571,Tai Chen,,18thcentury,
1572,Hippolyte Taine,French,19thcentury,
1573,Gáspár Miklós Tamás,,,
1574,T'an Ssu-t'ung,,19thcentury,
1575,Tanabe Hajime,TimelineEastern#Japanese,19thcentury,
1576,T'ang Chun-i,TimelineEastern#Japanese,,
1577,Alfred Tarski,,20thcentury,logicians
1578,Wladyslaw Tatarkiewicz,,19thcentury,
1579,Johannes Tauler,,11ththrough14thcenturies,
1580,Nicolaus Taurellus,,15thand16thcenturies,
1581,Abu Hayyan al-Tawhidi,,1stthrough10thcenturies,
1582,Charles Taylor,Catholicandtheologians,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1583,Harriet Taylor Mill,,19thcentury,Indexsociopoliticalthinkers
1584,Kenneth Allen Taylor,American,20thcentury,
1585,Richard Taylor,American,20thcentury,
1586,Gustav Teichmuller,,19thcentury,
1587,Pierre Teilhard de Chardin,French,19thcentury,metaphysicians
1588,Bernardino Telesio,Italian,15thand16thcenturies,
1589,Placide Tempels,,20thcentury,
1590,William Temple,,19thcentury,
1591,Frederick Robert Tennant,,19thcentury,
1592,Teresa of Avila,,15thand16thcenturies,
1593,Tertullian,Catholicandtheologians,1stthrough10thcenturies,
1594,Johannes Nikolaus Tetens,German-language,18thcentury,
1595,Thales,ancientGreek,centuriesBC,
1596,Themistius,ancientGreek,1stthrough10thcenturies,
1597,Theodorus of Cyrene,,centuriesBC,
1598,Theophrastus,ancientGreek,centuriesBC,logicians
1599,Helmut Thielicke,,20thcentury,
1600,Peter Thielst,,,
1601,Thierry of Chartres,,11ththrough14thcenturies,
1602,Thomas à Kempis,,11ththrough14thcenturies,
1603,Thomas of Erfurt,,11ththrough14thcenturies,
1604,Thomas of York,,11ththrough14thcenturies,
1605,Christian Thomasius,German-language,17thcentury,
1606,William Thompson,,18thcentury,
1607,Judith Jarvis Thomson,American,20thcentury,"['metaphysicians', 'ethicists']"
1608,Henry David Thoreau,American,19thcentury,"['political', 'Indexsociopoliticalthinkers']"
1609,Thrasymachus,ancientGreek,centuriesBC,
1610,Thucydides,,centuriesBC,Indexsociopoliticalthinkers
1611,Paul Tillich,American,19thcentury,ethicists
1612,Timaeus of Locri,ancientGreek,centuriesBC,
1613,Timon of Phlius,,centuriesBC,
1614,Matthew Tindal,,17thcentury,
1615,Alexis de Tocqueville,French,19thcentury,"['political', 'Indexsociopoliticalthinkers', 'politicaltheorists']"
1616,Tzvetan Todorov,,20thcentury,
1617,John Toland,British,17thcentury,
1618,Francisco de Toledo,,,
1619,Leo Tolstoy,Russian,19thcentury,ethicists
1620,Tominaga Nakamoto,TimelineEastern#Japanese,18thcentury,
1621,Friedrich Adolf Trendelenburg,,19thcentury,logicians
1622,Ernst Troeltsch,German-language,19thcentury,
1623,Leon Trotsky,Russian,19thcentury,politicaltheorists
1624,Ehrenfried Walther von Tschirnhaus,,17thcentury,
1625,Je Tsongkhapa,TimelineEastern#Japanese,11ththrough14thcenturies,
1626,Alyaksandr Tsvikievich,,,
1627,Abraham Tucker,,18thcentury,
1628,Benjamin Tucker,American,19thcentury,"['political', 'Indexsociopoliticalthinkers']"
1629,Peter Tudvad,,20thcentury,
1630,Ernst Tugendhat,German-language,20thcentury,
1631,Raimo Tuomela,Finnish,20thcentury,
1632,Alan Turing,,20thcentury,logicians
1633,George Turnball,,17thcentury,
1634,Nasir al-Din al-Tusi,Muslim,,
1635,Kazimierz Twardowski,,19thcentury,logicians
1636,Michael Tye,,20thcentury,
1637,Pietro Ubaldi,Italian,19thcentury,
1638,Udayana,TimelineEastern#Japanese,1stthrough10thcenturies,logicians
1639,Uddyotakara,,1stthrough10thcenturies,
1640,Uisang,Korean,1stthrough10thcenturies,
1641,Ulrich of Strasbourg,,11ththrough14thcenturies,
1642,Hermann Ulrici,,19thcentury,
1643,Umar Khayyam,,,
1644,Miguel de Unamuno,peoplefromtheBasqueCountry,19thcentury,
1645,Peter Unger,American,20thcentury,"['metaphysicians', 'epistemologists']"
1646,Dimitri Uznadze,,19thcentury,
1647,Hans Vaihinger,German-language,19thcentury,
1648,György Mihály Vajda,,,
1649,J. J. Valberg,,,
1650,Valentinius,,1stthrough10thcenturies,
1651,Paul Valéry,French,,
1652,Lorenzo Valla,,15thand16thcenturies,logicians
1653,Vallabhacharya,TimelineEastern#Japanese,15thand16thcenturies,
1654,Bas C. van Fraassen,,,
1655,Peter van Inwagen,American,20thcentury,metaphysicians
1656,Giulio Cesare Vanini,,,
