,Names,Region,Era,Area
336,Clement of Alexandria,Catholicandtheologians,1stthrough10thcenturies,
337,Catherine Clément,French,,
338,Cleomedes,ancientGreek,1stthrough10thcenturies,
339,William Kingdon Clifford,,19thcentury,
340,Catherine Trotter Cockburn,British,17thcentury,
341,Lorraine Code,Canadian,20thcentury,
342,G.A. Cohen,Canadian,,
343,Hermann Cohen,German-language,19thcentury,
344,L. Jonathan Cohen,,20thcentury,
345,Morris Raphael Cohen,,,
346,Samuel Taylor Coleridge,,18thcentury,
347,John Colet,,,
348,Lucio Colletti,Italian,20thcentury,
349,Arthur Collier,,17thcentury,
350,R. G. Collingwood,British,19thcentury,aestheticians
351,Anthony Collins,,17thcentury,
352,John Comenius,,15thand16thcenturies,
353,Auguste Comte,French,18thcentury,political
354,Étienne Bonnot de Condillac,French,18thcentury,
355,Marquis de Condorcet,,18thcentury,
356,Confucius,TimelineEastern#Japanese,centuriesBC,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
357,Benjamin Constant,French,18thcentury,political
358,Lady Anne Finch Conway,,17thcentury,
359,Anna J. Cooper,,,
360,Nicolaus Copernicus,Catholicandtheologians,15thand16thcenturies,
361,Henry Corbin,Muslim,20thcentury,
362,Geraud de Cordemoy,,17thcentury,
363,Moses ben Jacob Cordovero,,,
364,Carlos Cossio,,,
365,Newton da Costa,,20thcentury,logicians
366,Uriel da Costa,,,
367,Antoine Augustin Cournot,,19thcentury,
368,Victor Cousin,French,18thcentury,aestheticians
369,Carlos Nelson Coutinho,,,
370,Louis Couturat,French,19thcentury,
371,William Crathorn,,11ththrough14thcenturies,
372,Cratylus,ancientGreek,ancientGreek,
373,James Edwin Creighton,American,19thcentury,
374,Hasdai Crescas,,11ththrough14thcenturies,
375,Benedetto Croce,Italian,19thcentury,"['aestheticians', 'political']"
376,Alexander Crummell,,,
377,Christian August Crusius,German-language,18thcentury,
378,Ralph Cudworth,British,17thcentury,
379,Nathaniel Culverwel,British,17thcentury,
380,Richard Cumberland,,17thcentury,
381,Cyrano de Bergerac,,,
382,Heinrich Czolbe,German-language,19thcentury,
383,Jean le Rond d'Alembert,,18thcentury,
384,Damascius,ancientGreek,1stthrough10thcenturies,
385,Peter Damian,,,
386,Hubert Damisch,French,,
387,Arthur Danto,American,20thcentury,aestheticians
388,Charles Darwin,,19thcentury,
389,Erasmus Darwin,,,
390,David of Dinant,,11ththrough14thcenturies,
391,David the Invincible,,1stthrough10thcenturies,
392,Donald Davidson,American,20thcentury,
393,Angela Davis,,20thcentury,
394,Jalal al-Din al-Dawani,,15thand16thcenturies,
395,Simone de Beauvoir,French,20thcentury,epistemologists
396,Bruno de Finetti,,20thcentury,
397,Joseph de Maistre,Catholicandtheologians,18thcentury,politicaltheorists
398,Paul de Man,,20thcentury,
399,Augustus De Morgan,British,19thcentury,logicians
400,Francesco de Sanctis,Italian,19thcentury,
401,Guy Debord,,20thcentury,"['political', 'Indexsociopoliticalthinkers']"
402,Régis Debray,,,
403,Richard Dedekind,,19thcentury,
404,Joseph Déjacque,,,political
405,Gilles Deleuze,French,20thcentury,"['metaphysicians', 'political', 'epistemologists']"
406,Bernard Delfgaauw,,20thcentury,
407,Elijah Delmedigo,,15thand16thcenturies,
408,Giorgio Del Vecchio,,,Indexsociopoliticalthinkers
409,Democritus,ancientGreek,centuriesBC,"['metaphysicians', 'Indexsociopoliticalthinkers']"
410,Daniel Dennett,American,20thcentury,
411,Denys the Carthusian,,15thand16thcenturies,
412,Jacques Derrida,French,20thcentury,aestheticians
413,René Descartes,French,15thand16thcenturies,"['metaphysicians', 'epistemologists']"
414,Vincent Descombes,French,20thcentury,
415,Robert Desgabets,,17thcentury,
416,Antoine Destutt de Tracy,,,
417,Paul Deussen,,19thcentury,
418,Alejandro Deustua,,,
419,John Dewey,American,19thcentury,"['aestheticians', 'political']"
420,Dharmakirti,TimelineEastern#Japanese,1stthrough10thcenturies,logicians
421,Albert Venn Dicey,,19thcentury,
422,Denis Diderot,French,18thcentury,
423,Dietrich of Freiberg,,11ththrough14thcenturies,
424,Joseph Dietzgen,,,
425,Kenelm Digby,,17thcentury,
426,Dignaga,,1stthrough10thcenturies,
427,Wilhelm Dilthey,German-language,19thcentury,Indexsociopoliticalthinkers
428,Hugo Dingler,,19thcentury,
429,Diodorus Cronus,ancientGreek,centuriesBC,logicians
430,Diogenes Laërtius,,1stthrough10thcenturies,
431,Diogenes of Apollonia,ancientGreek,ancientGreek,
432,Diogenes of Babylon,ancientGreek,ancientGreek,
433,Diogenes of Oenoanda,ancientGreek,1stthrough10thcenturies,
434,Diogenes the Cynic of Sinope,,centuriesBC,
435,Dogen Zenji,,,
436,Dong Zhongshu,TimelineEastern#Japanese,centuriesBC,Indexsociopoliticalthinkers
437,Herman Dooyeweerd,,19thcentury,political
438,Fyodor Dostoyevsky,Russian,,
439,Frederick Douglass,,,
440,Fred Dretske,American,20thcentury,epistemologists
441,Hans Adolf Eduard Driesch,,19thcentury,
442,W. E. B. Du Bois,,,
443,Emil du Bois-Reymond,,19thcentury,
444,Jean-Baptiste Dubos,,,
445,Émilie du Châtelet,,18thcentury,
446,Guillaume du Vair,,15thand16thcenturies,
447,Curt Ducasse,,19thcentury,
448,Pierre Duhem,,19thcentury,
449,Eugen Dühring,German-language,19thcentury,
450,Michael Dummett,Catholicandtheologians,20thcentury,
451,Raya Dunayevskaya,,20thcentury,"['Indexsociopoliticalthinkers', 'politicaltheorists']"
452,James Dunbar,,,
453,Duns Scotus,British,11ththrough14thcenturies,metaphysicians
454,Profiat Duran,,11ththrough14thcenturies,
455,Simeon ben Zemah Duran,,11ththrough14thcenturies,
456,Durandus of St. Pourçain,,11ththrough14thcenturies,
457,Will Durant,American,,
458,Émile Durkheim,,19thcentury,
459,Enrique Dussel,,,Indexsociopoliticalthinkers
460,Ronald Dworkin,American,20thcentury,"['political', 'Indexsociopoliticalthinkers', 'ethicists', 'politicaltheorists']"
461,Jonathan Earle,,,
462,John Earman,American,20thcentury,
463,Johann Augustus Eberhard,German-language,18thcentury,
464,Meister Eckhart,Catholicandtheologians,11ththrough14thcenturies,metaphysicians
465,Umberto Eco,Italian,20thcentury,aestheticians
466,Arthur Stanley Eddington,,,
467,Jonathan Edwards,American,18thcentury,aestheticians
468,Paul Edwards,American,20thcentury,
469,Christian von Ehrenfels,,19thcentury,
470,Albert Einstein,German-language,19thcentury,
471,Mircea Eliade,Romanian,20thcentury,
472,Elias,,1stthrough10thcenturies,
473,George Eliot,,19thcentury,
474,T. S. Eliot,,,
475,Elisabeth of Bohemia,,17thcentury,
476,Jon Elster,,20thcentury,
